Year,Democratic,Republican,Winner,Total
2024,75019257,77303573,R,154891827
2020,81268924,74216154,D,158380000
2016,65844610,62984828,R,136750000
2012,65915795,60933504,D,129070000
2008,69498516,59948323,D,131300000
2004,59028444,62040610,"R	",122290000
2000,50999897,50456002,R,105380000
1996,47401185,39197469,D,96260000
1992,44909806,39104550,D,104410000
1988,41809476,48886597,R,91590000
1984,37577352,54455472,R,92650000
1980,35480115,43903230,R,86520000
1976,40831881,39148634,"D	",81600000
1972,29173222,47168710,R,77630000
1968,31271839,31783783,"R		",73030000
1964,43127041,27175754,D,70100000
1960,34220984,34108157,D,68840000
1956,26028028,35579180,R,62030000
1952,27375090,34075529,R,61550000
1948,24179347,21991292,D,48830000
1944,25612916,22017929,"D	",47980000
1940,27313945,22347744,D,49900000
1936,27752648,16681862,D,45520000
1932,22821277,15761254,D,39580000
1928,15015464,21427123,R,36710000
1924,8386242,15723789,R,28930000
1920,9139661,16114093,R,26650000
1916,9126868,8548728,D,18480000
1912,6296284,4122721,D,15010000
1908,6408979,7678335,R,14760000
1904,5083880,7630457,R,13490000
1900,6370932,7228864,R,13790000
1896,6509052,7111607,R,13880000
1892,5553898,5190819,D,12030000
1888,5534488,5443892,R,11380000
1884,4914482,4856903,D,10010000
1880,4444260,4446158,R,9200000
1876,4286808,4034142,R,8320000
1872,2834761,3598235,R,6430000
1868,2708744,3013650,R,5720000
1864,1812807,2218388,R,4030000
1860,1380202,1865908,R,4690000
1856,1836072,1342345,D,4050000
